NTAName,NTA2020,Year,median_price_per_sqft,transaction_count,citywide_median,relative_performance,prev_median,yoy_change,centroid_lng,centroid_lat
Greenpoint,BK0101,2003,179.66271752728164,80,225.69444444444449,-20.395595926373687,,,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2004,221.32850241545896,134,251.52698098191044,-12.006059329525101,179.66271752728164,23.191113583067335,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2005,309.90948630539555,159,293.5343688037012,5.578603135445801,221.32850241545896,40.022402412347205,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2006,342.7592116538132,157,326.647564469914,4.932425322088442,309.90948630539555,10.599780516575223,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2007,362.8691983122363,141,372.9411764705882,-2.7006881497158086,342.7592116538132,5.867088607594925,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2008,399.2247439244828,155,374.10394265232975,6.714925561610259,362.8691983122363,10.0189119884912,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2009,434.1640709654432,112,326.797385620915,32.854205715425636,399.2247439244828,8.751793963845463,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2010,478.9759160049746,182,344.29819112999894,39.11659379706833,434.1640709654432,10.321407973691612,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2011,479.6188366975987,279,343.89078028818045,39.46836152329473,478.9759160049746,0.13422818791945793,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2012,464.01045068582624,229,350.72020893505885,32.30217103678357,479.6188366975987,-3.254331318436848,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2013,506.9124592274678,188,362.172321052461,39.96443951166581,464.01045068582624,9.245914284523263,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2014,615.9232365145228,171,366.6666666666667,67.97906450396076,506.9124592274678,21.50485262350563,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2015,691.5049537309235,176,392.1985815602837,76.31500628582317,615.9232365145228,12.271288487850143,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2016,768.6713455953534,126,427.4497619667701,79.82729527291438,691.5049537309235,11.159195816037013,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2017,956.3713375970799,246,475.7764854294752,101.01273746931399,768.6713455953534,24.41875751935941,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2018,842.1275581211421,204,481.26987739002755,74.98031721579588,956.3713375970799,-11.945546147689843,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2019,892.0962787150484,166,498.2110855094726,79.05990144775427,842.1275581211421,5.933628476117169,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2020,866.0714285714286,157,523.5646164965536,65.41825044762732,892.0962787150484,-2.917269219092058,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2021,867.9800724637681,300,600.0,44.66334541062802,866.0714285714286,0.22037950097116674,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2022,923.8165680473373,276,628.6915812386402,46.942729251638085,867.9800724637681,6.432923675894643,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2023,1047.9436425984309,168,603.0429132843367,73.77596511184305,923.8165680473373,13.436333450206439,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2024,1050.508360039727,355,625.0,68.08133760635631,1047.9436425984309,0.2447381077609073,-73.94951662764288,40.72949961875474
Greenpoint,BK0101,2025,932.5044404973356,201,659.4982649842271,41.39604150734768,1050.508360039727,-11.233030029187852,-73.94951662764288,40.72949961875474
Williamsburg,BK0102,2003,228.5935397039031,102,225.69444444444449,1.2845222072678186,,,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2004,361.9791666666667,133,251.52698098191044,43.9126590927038,228.5935397039031,58.35056718380485,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2005,485.499316005472,293,293.5343688037012,65.39777538968386,361.9791666666667,34.123552047554846,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2006,613.4752633171081,224,326.647564469914,87.80953236637784,485.499316005472,26.35965553248971,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2007,609.39880304679,351,372.9411764705882,63.40346453936012,613.4752633171081,-0.6644864942518375,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2008,684.1451264392293,397,374.10394265232975,82.87567930686944,609.39880304679,12.265584214923415,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2009,621.1412776261814,315,326.797385620915,90.06923095361151,684.1451264392293,-9.209135076495267,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2010,620.6896551724138,596,344.29819112999894,80.27676913877714,621.1412776261814,-0.07270849161618993,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2011,672.7688787185355,643,343.89078028818045,95.63446224256293,620.6896551724138,8.390541571319595,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2012,735.8400162616579,425,350.72020893505885,109.80827380777187,672.7688787185355,9.374859559981118,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2013,834.6202294544603,336,362.172321052461,130.44837524554086,735.8400162616579,13.424142613858214,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2014,932.1249702763332,289,366.6666666666667,154.2159009844545,834.6202294544603,11.68252785888089,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2015,1007.7519379844962,383,392.1985815602837,156.94940914252072,932.1249702763332,8.11339360276369,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2016,1053.539654622687,534,427.4497619667701,146.47098872512393,1007.7519379844962,4.543550343328173,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2017,1093.5544344024022,475,475.7764854294752,129.84625509923416,1053.539654622687,3.7981275412026094,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2018,1035.544360481388,357,481.26987739002755,115.1691616556689,1093.5544344024022,-5.304726687219298,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2019,1136.9452478673902,362,498.2110855094726,128.2055299321061,1035.544360481388,9.79203704405909,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2020,1130.819622879781,250,523.5646164965536,115.98472991675605,1136.9452478673902,-0.5387792419291281,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2021,1167.8896169893524,542,600.0,94.64826949822539,1130.819622879781,3.278152709728162,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2022,1275.8135068028023,477,628.6915812386402,102.93153986398397,1167.8896169893524,9.240932382947443,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2023,1366.909140239099,300,603.0429132843367,126.6686350386804,1275.8135068028023,7.1401997980553675,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2024,1359.7328244274809,299,625.0,117.55725190839695,1366.909140239099,-0.5250031330072857,-73.95862095291709,40.714914335687524
Williamsburg,BK0102,2025,1394.2307692307693,341,659.4982649842271,111.40779942220385,1359.7328244274809,2.5371120107962293,-73.95862095291709,40.714914335687524
South Williamsburg,BK0103,2003,205.39906103286384,126,225.69444444444449,-8.992416034669576,,,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2004,192.6635552280357,232,251.52698098191044,-23.402430039148815,205.39906103286384,-6.2003719689791845,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2005,229.13719943422916,195,293.5343688037012,-21.938544924712772,192.6635552280357,18.931262927762035,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2006,237.687617260788,290,326.647564469914,-27.234229452618408,229.13719943422916,3.731571236652525,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2007,254.6782628467485,155,372.9411764705882,-31.710875892827676,237.687617260788,7.148309104936919,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2008,371.4575214341388,131,374.10394265232975,-0.7074026537727153,254.6782628467485,45.853641878208386,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2009,233.71365476628637,61,326.797385620915,-28.483621641516365,371.4575214341388,-37.081996922836595,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2010,234.4617239300784,107,344.29819112999894,-31.90155220956385,233.71365476628637,0.3200793571689654,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2011,252.38882718391744,132,343.89078028818045,-26.607852943188643,234.4617239300784,7.646068174089389,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2012,279.36760421002555,110,350.72020893505885,-20.344594610527654,252.38882718391744,10.689370574414724,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2013,313.9260424862313,109,362.172321052461,-13.321359960923445,279.36760421002555,12.370238265072823,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2014,296.241729589429,122,366.6666666666667,-19.206801021064827,313.9260424862313,-5.633273606976384,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2015,309.35120790629577,103,392.1985815602837,-21.123833065483357,296.241729589429,4.425263900205969,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2016,380.3191489361702,153,427.4497619667701,-11.026000532493875,309.35120790629577,22.940896694791974,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2017,381.79437066524974,122,475.7764854294752,-19.753417338267447,380.3191489361702,0.38789046862510496,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2018,457.6271186440678,93,481.26987739002755,-4.912578130627385,381.79437066524974,19.86219646106486,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2019,488.498974709501,96,498.2110855094726,-1.9493967682473266,457.6271186440678,6.746072251335399,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2020,515.5456852791879,121,523.5646164965536,-1.531602970235969,488.498974709501,5.536697510116765,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2021,546.1031833150385,133,600.0,-8.982802780826924,515.5456852791879,5.927214388246218,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2022,625.9879860891558,77,628.6915812386402,-0.43003520806780915,546.1031833150385,14.628151824567018,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2023,610.510265989718,66,603.0429132843367,1.238278825749251,625.9879860891558,-2.4725267007334164,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2024,786.0529027825489,77,625.0,25.76846444520783,610.510265989718,28.7534291513105,-73.95665885781328,40.70324198075533
South Williamsburg,BK0103,2025,952.8127457513161,166,659.4982649842271,44.47539839609798,786.0529027825489,21.214837115727704,-73.95665885781328,40.70324198075533
East Williamsburg,BK0104,2003,164.41005802707932,69,225.69444444444449,-27.15369736646333,,,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2004,184.89583333333331,93,251.52698098191044,-26.490656146892317,164.41005802707932,12.460171568627432,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2005,397.8067929680833,172,293.5343688037012,35.52307165574653,184.89583333333331,115.15184295738592,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2006,389.8340548340548,156,326.647564469914,19.34393433077644,397.8067929680833,-2.0041734517761594,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2007,520.6427795059894,266,372.9411764705882,39.60453078236312,389.8340548340548,33.55497629051866,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2008,435.44529754550314,238,374.10394265232975,16.396874745097364,520.6427795059894,-16.363903488938366,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2009,406.53476005812104,98,326.797385620915,24.399636577785046,435.44529754550314,-6.639304098664886,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2010,466.959020254357,193,344.29819112999894,35.626335625459085,406.53476005812104,14.863245688412293,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2011,411.3587840226229,221,343.89078028818045,19.61902080593852,466.959020254357,-11.906877010631062,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2012,504.17609707028794,208,350.72020893505885,43.754504082096894,411.3587840226229,22.563590873158674,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2013,558.4127870887647,196,362.172321052461,54.18428041823719,504.17609707028794,10.757489364061538,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2014,595.9550561797753,181,366.6666666666667,62.5331971399387,558.4127870887647,6.723031771305566,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2015,743.421052631579,187,392.1985815602837,89.55220329304274,595.9550561797753,24.74448281336826,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2016,781.7703405134181,208,427.4497619667701,82.89174777320214,743.421052631579,5.158488281450927,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2017,806.7984853001248,228,475.7764854294752,69.57510722116535,781.7703405134181,3.201470238723784,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2018,791.6666666666666,163,481.26987739002755,64.49537024007205,806.7984853001248,-1.875538800476202,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2019,911.5614692033482,188,498.2110855094726,82.9669181831195,791.6666666666666,15.144606636212412,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2020,830.1474604041507,181,523.5646164965536,58.556830283739224,911.5614692033482,-8.931269206710617,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2021,823.6513063924231,290,600.0,37.27521773207051,830.1474604041507,-0.7825301312811388,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2022,930.9321224144364,272,628.6915812386402,48.074532918084536,823.6513063924231,13.025028332912052,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2023,857.3248953348283,184,603.0429132843367,42.166482094218196,930.9321224144364,-7.906830724532606,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2024,938.9671361502348,185,625.0,50.23474178403756,857.3248953348283,9.522905640518124,-73.93648763829711,40.71329975935242
East Williamsburg,BK0104,2025,958.552720399622,196,659.4982649842271,45.345753172307006,938.9671361502348,2.085864722559741,-73.93648763829711,40.71329975935242
Brooklyn Heights,BK0201,2003,428.1333215852131,62,225.69444444444449,89.695994794679,,,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2004,555.5555555555555,51,251.52698098191044,120.87314584971323,428.1333215852131,29.76227907198321,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2005,630.0,65,293.5343688037012,114.62563398199804,555.5555555555555,13.400000000000004,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2006,790.0650813039164,62,326.647564469914,141.87080120619896,630.0,25.407155762526408,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2007,715.8945404556166,299,372.9411764705882,91.95910390765748,790.0650813039164,-9.387902668206696,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2008,754.4077153656488,54,374.10394265232975,101.65724798756024,715.8945404556166,5.379727422634235,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2009,685.3576608901443,27,326.797385620915,109.71944423238418,754.4077153656488,-9.152882860170253,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2010,777.3183086120928,72,344.29819112999894,125.76892026673343,685.3576608901443,13.417906148814293,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2011,806.2283737024221,53,343.89078028818045,134.44314878892735,777.3183086120928,3.719205474774994,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2012,889.978976874562,105,350.72020893505885,153.7575406837634,806.2283737024221,10.387950350535808,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2013,919.2403711211603,114,362.172321052461,153.8129828502293,889.978976874562,3.2878747708579272,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2014,984.354628422425,103,366.6666666666667,168.4603532061159,919.2403711211603,7.083485380635264,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2015,1139.047619047619,79,392.1985815602837,190.42624644794628,984.354628422425,15.715168716493224,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2016,1240.3100775193798,73,427.4497619667701,190.16511128992076,1139.047619047619,8.890098778875316,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2017,1221.4569694156733,74,475.7764854294752,156.7291589270296,1240.3100775193798,-1.520031840861338,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2018,1391.5374620415791,84,481.26987739002755,189.13869897447552,1221.4569694156733,13.924394954925825,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2019,1197.1830985915492,61,498.2110855094726,140.29635899556615,1391.5374620415791,-13.966879710509916,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2020,1315.7060578692035,66,523.5646164965536,151.2977417521614,1197.1830985915492,9.900153069074655,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2021,1424.863194925029,193,600.0,137.4771991541715,1315.7060578692035,8.2964683793131,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2022,1449.3355481727574,141,628.6915812386402,130.53204328222353,1424.863194925029,1.7175230109734256,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2023,1383.5753257915471,74,603.0429132843367,129.43231655873666,1449.3355481727574,-4.5372669195975455,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2024,1381.7097415506958,83,625.0,121.07355864811132,1383.5753257915471,-0.13483792360810357,-73.99483016824742,40.69546550215201
Brooklyn Heights,BK0201,2025,1425.800193986421,65,659.4982649842271,116.19468460929477,1381.7097415506958,3.191006845348168,-73.99483016824742,40.69546550215201
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,2003,481.6606948581728,200,225.69444444444449,113.41273864485191,,,-73.98583046389655,40.69490000994833
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,2004,383.88628373445806,202,251.52698098191044,52.62230804657364,481.6606948581728,-20.299437377281713,-73.98583046389655,40.69490000994833
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,2005,632.7105110336818,367,293.5343688037012,115.54903898044114,383.88628373445806,64.81717056380698,-73.98583046389655,40.69490000994833
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,2006,746.6529351184346,311,326.647564469914,128.58059154064358,632.7105110336818,18.008618807138355,-73.98583046389655,40.69490000994833
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,2007,712.3375536480687,655,372.9411764705882,91.00533772897744,746.6529351184346,-4.595894538996589,-73.98583046389655,40.69490000994833
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,2008,698.3296412612191,360,374.10394265232975,86.66727656228036,712.3375536480687,-1.9664711364873868,-73.98583046389655,40.69490000994833
Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,2009,640.5775938979677,142,326.797385620915,96.01674373277814,698.3296412612191,-8.27002663941748,-73.98583046389655,40.69490000994833
